"PC1","PC2","Z"
-284.310028355297,-13.7252298135196,1
-1030.43034422084,72.3433101951637,1
-2308.23723908818,-99.1799582660591,1
-195.028701194452,-7.64034775425501,1
-195.028700504156,-7.64034588002854,1
-55.7768503927772,-5.96292281623229,1
-111.112722482603,14.6564829538331,1
-50.1734011939036,-2.82282985067205,1
-1313.68751222162,-227.520902059684,1
-745.640042544557,82.92180955368,1
-21.7255616123482,-2.49835692708662,1
-183.257885968252,19.8679629382818,1
-267.549630379587,-16.5667047176939,1
-25.8432421539876,-2.87898331107077,1
-206.145172684044,10.5483516311748,1
-254.738515828198,-12.8557679624696,1
-110.72260449348,-12.9559230083863,1
-470.755939432062,-19.3246536356344,1
-69.699897590249,7.66222118657497,1
-198.61521291572,-58.5510618363027,1
-24.221086439158,-5.33194525560488,1
-2238.1982171767,312.866459624547,1
-35.5792711120328,-6.52994528010132,1
-68.8775987632949,6.5299335268772,1
-84.5777620356911,-8.37159556105721,1
-2237.21227368944,312.699529919353,1
-84.5777620356911,-8.37159556105721,1
-48.3737455820784,-4.15459980117427,1
-37.373964509476,-5.13606895472653,1
-138.234128544364,-43.4658663213436,1
-59.8640559908966,-0.126136441006851,1
-44.2752587141218,-3.95836907366045,1
-89.6030512585608,3.96038980940844,1
-17.6196615580555,-2.21994838704848,1
-265.33192564438,14.3652005711799,1
-25.6862300758165,-1.96017100617818,1
-30.641875947043,-7.30260106828542,1
-248.718653621605,-37.0917857341073,1
-193.599690080765,-29.0569904119585,1
-301.230845023746,-71.4746557496191,1
-227.850002088456,8.1587281936181,1
-29.6543436508267,-7.45707974815037,1
-29.6543556318122,-7.45710614232528,1
-67.7277486750331,7.33093489143449,1
-340.591483812529,19.2058487437605,1
-784.857027214923,1.36107434866105,1
-437.796517577988,62.0005183687669,1
-94.0339540610723,7.73427119730512,1
-3029.42908732052,318.524068047789,1
-892.06429506841,110.599511368261,1
-34.5742532008042,-6.51131900712971,1
-181.526318280507,0.193941875496371,1
-746.625967851705,83.0888357400624,1
-70.9097239703231,-5.49249043603515,1
-178.568615307913,-0.308278869082585,1
-109.539362585453,-11.9042632030716,1
-153.834843050683,-33.8053439449804,1
-51.663738255621,0.34707448695678,1
-207.398716089856,-26.6863707591045,1
-300.245064685184,-71.6409369303458,1
-256.606288253163,-23.9161246082774,1
-66.9290976022379,0.120911218394252,1
-75.2965715948751,4.56107702232507,1
-97.1723148896812,1.20216633402602,1
-183.164442621553,-3.42847723628063,1
-125.009405927046,-13.4286305902577,1
-199.168981513312,-14.1295249025548,1
-17.2826102997758,-0.21414185543727,1
-309.798263090329,-14.4657436769916,1
